SMITH,0,1.006
JOHNSON,1.0061,1.816
WILLIAMS,1.8161,2.515
JONES,2.5151,3.136
BROWN,3.1361,3.757
DAVIS,3.7571,4.237
MILLER,4.2371,4.66
WILSON,4.6601,5.000
MOORE,5.0001,5.312
TAYLOR,5.3121,5.623
ANDERSON,5.6231,5.934
THOMAS,5.9341,6.245
JACKSON,6.2451,6.554
WHITE,6.5541,6.834
HARRIS,6.8341,7.109
MARTIN,7.1091,7.382
THOMPSON,7.3821,7.651
GARCIA,7.6511,7.905
MARTINEZ,7.9051,8.14
ROBINSON,8.1401,8.372
CLARK,8.3721,8.603
RODRIGUEZ,8.6031,8.832
LEWIS,8.8321,9.058
LEE,9.0581,9.278
WALKER,9.2781,9.497
HALL,9.4971,9.698
ALLEN,9.6981,9.897
YOUNG,9.8971,10.09
HERNANDEZ,10.0901,10.282
KING,10.2821,10.472
WRIGHT,10.4721,10.662
LOPEZ,10.6621,10.849
HILL,10.8491,11.035
SCOTT,11.0351,11.22
GREEN,11.2201,11.403
ADAMS,11.4031,11.577
BAKER,11.5771,11.748
GONZALEZ,11.7481,11.915
NELSON,11.9151,12.077
CARTER,12.0771,12.239
MITCHELL,12.2391,12.399
PEREZ,12.3991,12.554
ROBERTS,12.5541,12.707
TURNER,12.7071,12.859
PHILLIPS,12.8591,13.008
CAMPBELL,13.0081,13.157
PARKER,13.1571,13.302
EVANS,13.3021,13.443
EDWARDS,13.4431,13.58
COLLINS,13.5801,13.714
STEWART,13.7141,13.847
SANCHEZ,13.8471,13.977
MORRIS,13.9771,14.102
ROGERS,14.1021,14.225
REED,14.2251,14.347
COOK,14.3471,14.467
MORGAN,14.4671,14.585
BELL,14.5851,14.702
MURPHY,14.7021,14.819
BAILEY,14.8191,14.934
RIVERA,14.9341,15.047
COOPER,15.0471,15.16
RICHARDSON,15.1601,15.272
COX,15.2721,15.382
HOWARD,15.3821,15.492
WARD,15.4921,15.6
TORRES,15.6001,15.708
PETERSON,15.7081,15.815
GRAY,15.8151,15.921
RAMIREZ,15.9211,16.026
JAMES,16.0261,16.131
WATSON,16.1311,16.233
BROOKS,16.2331,16.336
KELLY,16.3361,16.438
SANDERS,16.4381,16.537
PRICE,16.5371,16.637
BENNETT,16.6371,16.736
WOOD,16.7361,16.834
BARNES,16.8341,16.931
ROSS,16.9311,17.027
HENDERSON,17.0271,17.122
COLEMAN,17.1221,17.217
JENKINS,17.2171,17.312
PERRY,17.3121,17.406
POWELL,17.4061,17.499
LONG,17.4991,17.591
PATTERSON,17.5911,17.684
HUGHES,17.6841,17.776
FLORES,17.7761,17.868
WASHINGTON,17.8681,17.959
BUTLER,17.9591,18.05
SIMMONS,18.0501,18.141
FOSTER,18.1411,18.231
GONZALES,18.2311,18.318
BRYANT,18.3181,18.405
ALEXANDER,18.4051,18.49
RUSSELL,18.4901,18.574
GRIFFIN,18.5741,18.659
DIAZ,18.6591,18.742
HAYES,18.7421,18.825
MYERS,18.8251,18.908
FORD,18.9081,18.99
HAMILTON,18.9901,19.072
GRAHAM,19.0721,19.154
SULLIVAN,19.1541,19.234
WALLACE,19.2341,19.315
WOODS,19.3151,19.395
COLE,19.3951,19.476
WEST,19.4761,19.555
JORDAN,19.5551,19.634
OWENS,19.6341,19.711
REYNOLDS,19.7111,19.789
FISHER,19.7891,19.866
ELLIS,19.8661,19.943
HARRISON,19.9431,20.019
GIBSON,20.0191,20.094
MCDONALD,20.0941,20.169
CRUZ,20.1691,20.244
MARSHALL,20.2441,20.319
ORTIZ,20.3191,20.394
GOMEZ,20.3941,20.468
MURRAY,20.4681,20.543
FREEMAN,20.5431,20.617
WELLS,20.6171,20.69
WEBB,20.6901,20.762
SIMPSON,20.7621,20.832
STEVENS,20.8321,20.902
TUCKER,20.9021,20.971
PORTER,20.9711,21.041
HUNTER,21.0411,21.11
HICKS,21.1101,21.178
CRAWFORD,21.1781,21.246
HENRY,21.2461,21.314
BOYD,21.3141,21.381
MASON,21.3811,21.449
MORALES,21.4491,21.516
KENNEDY,21.5161,21.582
WARREN,21.5821,21.649
DIXON,21.6491,21.715
RAMOS,21.7151,21.782
REYES,21.7821,21.848
BURNS,21.8481,21.913
GORDON,21.9131,21.978
SHAW,21.9781,22.043
HOLMES,22.0431,22.108
RICE,22.1081,22.172
ROBERTSON,22.1721,22.236
HUNT,22.2361,22.299
BLACK,22.2991,22.362
DANIELS,22.3621,22.425
PALMER,22.4251,22.487
MILLS,22.4871,22.547
NICHOLS,22.5471,22.607
GRANT,22.6071,22.667
KNIGHT,22.6671,22.727
FERGUSON,22.7271,22.786
ROSE,22.7861,22.845
STONE,22.8451,22.904
HAWKINS,22.9041,22.963
DUNN,22.9631,23.022
PERKINS,23.0221,23.079
HUDSON,23.0791,23.137
SPENCER,23.1371,23.194
GARDNER,23.1941,23.251
STEPHENS,23.2511,23.308
PAYNE,23.3081,23.365
PIERCE,23.3651,23.421
BERRY,23.4211,23.477
MATTHEWS,23.4771,23.533
ARNOLD,23.5331,23.589
WAGNER,23.5891,23.645
WILLIS,23.6451,23.7
RAY,23.7001,23.755
WATKINS,23.7551,23.811
OLSON,23.8111,23.866
CARROLL,23.8661,23.921
DUNCAN,23.9211,23.976
SNYDER,23.9761,24.031
HART,24.0311,24.086
CUNNINGHAM,24.0861,24.14
BRADLEY,24.1401,24.194
LANE,24.1941,24.247
ANDREWS,24.2471,24.301
RUIZ,24.3011,24.355
HARPER,24.3551,24.408
FOX,24.4081,24.462
RILEY,24.4621,24.515
ARMSTRONG,24.5151,24.568
CARPENTER,24.5681,24.621
WEAVER,24.6211,24.673
GREENE,24.6731,24.726
LAWRENCE,24.7261,24.779
ELLIOTT,24.7791,24.831
CHAVEZ,24.8311,24.883
SIMS,24.8831,24.936
AUSTIN,24.9361,24.988
PETERS,24.9881,25.04
KELLEY,25.0401,25.092
FRANKLIN,25.0921,25.143
LAWSON,25.1431,25.195
FIELDS,25.1951,25.246
GUTIERREZ,25.2461,25.297
RYAN,25.2971,25.348
SCHMIDT,25.3481,25.4
CARR,25.4001,25.451
VASQUEZ,25.4511,25.502
CASTILLO,25.5021,25.552
